MSSV,MaHocPhan,HocPhan,TinChi,NhomHoc,Khoa,GPA_TichLuy,TinChiTichLuy,DiemQuaTrinh,ChuyenCan,TruyCapLMS,TyLeNopDungHan,DiemRenLuyen,GioTuHoc,DiemCuoiKy,NguyCo
SV20210001,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Kỹ thuật dữ liệu,1.7,69,6.7,68.3,8,84.2,70,4.3,6.4,0
SV20210001,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Kỹ thuật dữ liệu,1.7,69,5.4,80.5,1,73.3,62,10.0,6.9,0
SV20210001,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Kỹ thuật dữ liệu,1.7,69,5.5,60.0,6,62.9,69,8.0,6.7,0
SV20210001,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Kỹ thuật dữ liệu,1.7,69,6.4,82.1,10,75.0,66,4.9,6.0,0
SV20210002,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Kinh tế số,3.0,74,8.4,78.6,14,92.1,86,3.4,4.4,1
SV20210002,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Kinh tế số,3.0,74,8.0,86.3,2,100.0,71,11.3,8.2,0
SV20210002,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Kinh tế số,3.0,74,7.8,92.0,19,87.0,69,5.2,7.3,0
SV20210002,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Kinh tế số,3.0,74,7.6,90.0,11,88.8,90,4.2,7.7,0
SV20210003,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Kinh tế số,2.4,71,6.6,75.8,15,76.9,81,7.5,7.7,0
SV20210003,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Kinh tế số,2.4,71,7.8,95.5,11,89.4,57,6.7,8.7,0
SV20210003,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Kinh tế số,2.4,71,4.9,75.1,10,92.8,66,6.8,6.3,0
SV20210003,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Kinh tế số,2.4,71,4.4,64.4,2,77.4,67,5.6,3.5,1
SV20210004,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Kỹ thuật dữ liệu,2.3,56,5.1,82.7,6,96.7,70,5.4,4.3,1
SV20210004,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Kỹ thuật dữ liệu,2.3,56,6.9,85.0,4,87.2,54,4.6,6.0,0
SV20210004,IT4030,Phát triển ứng dụng Web,4,Nhóm 04,Kỹ thuật dữ liệu,2.3,56,7.6,72.1,11,95.5,72,7.6,6.6,0
SV20210004,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 04,Kỹ thuật dữ liệu,2.3,56,4.3,78.0,13,65.6,59,3.8,4.3,1
SV20210005,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 01,Công nghệ thông tin,1.7,46,3.7,77.8,3,52.9,62,1.3,5.2,0
SV20210005,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 01,Công nghệ thông tin,1.7,46,4.9,51.3,7,59.5,64,4.0,3.7,1
SV20210005,IT4030,Phát triển ứng dụng Web,4,Nhóm 01,Công nghệ thông tin,1.7,46,5.6,73.7,1,49.4,53,3.9,5.9,0
SV20210005,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 01,Công nghệ thông tin,1.7,46,5.2,70.1,1,76.4,53,0.4,3.6,1
SV20210006,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 02,Kinh tế số,2.9,76,7.6,86.1,17,78.0,81,5.9,7.4,0
SV20210006,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 02,Kinh tế số,2.9,76,8.8,83.3,13,86.5,78,8.4,5.9,0
SV20210006,IT4030,Phát triển ứng dụng Web,4,Nhóm 02,Kinh tế số,2.9,76,7.2,78.6,13,100.0,83,10.6,7.1,0
SV20210006,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 02,Kinh tế số,2.9,76,9.0,100.0,19,88.0,80,7.9,8.7,0
SV20210007,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 03,Kỹ thuật dữ liệu,2.9,88,7.7,84.3,13,84.3,62,8.8,5.3,0
SV20210007,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 03,Kỹ thuật dữ liệu,2.9,88,8.0,77.3,8,75.3,76,9.9,6.6,0
SV20210007,IT4030,Phát triển ứng dụng Web,4,Nhóm 03,Kỹ thuật dữ liệu,2.9,88,9.3,100.0,11,84.2,73,7.4,6.9,0
SV20210007,MA2010,Xác suất thống kê ứng dụng,3,Nhóm 03,Kỹ thuật dữ liệu,2.9,88,8.0,82.0,22,78.5,82,7.5,6.8,0
SV20210008,IT4010,Học máy & Khai phá dữ liệu,3,Nhóm 04,Công nghệ thông tin,3.0,117,7.8,81.3,17,100.0,77,4.7,5.1,0
SV20210008,IT4020,Hệ quản trị CSDL nâng cao,3,Nhóm 04,Công nghệ thông tin,3.0,117,7.7,82.6,8,92.7,77,3.2,7.1,0
