GioiTinh,KhuVucSinhSong,HocVanChaMe,HoanCanhGiaDinh,HocLucNamTruoc,TiLeChuyenCan,GioTuHocMoiTuan,ThamGiaHocThem,OnThiTruoc,ThoiGianMangXaHoi,KetQua
Nam,Thành thị,Tốt nghiệp THPT,Trung bình,Trung bình,94.4,11.1,Có,Đã ôn thi,2.0,Đỗ
Nam,Thành thị,Đại học,Khá giả,Khá,97.0,12.2,Có,Đã ôn thi,5.8,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Khá,84.5,10.7,Có,Đã ôn thi,3.8,Đỗ
Nam,Nông thôn,Đại học,Trung bình,Khá,73.1,6.8,Không,Đã ôn thi,5.1,Đỗ
Nữ,Thành thị,Thạc sĩ,Khó khăn,Trung bình,93.4,12.8,Không,Đã ôn thi,7.7,Trượt
Nam,Nông thôn,Tốt nghiệp THPT,Khó khăn,Trung bình,100.0,8.0,Có,Đã ôn thi,3.5,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Trung bình,85.0,14.3,Không,Đã ôn thi,2.3,Trượt
Nữ,Thành thị,Đại học,Trung bình,Khá,79.0,6.1,Có,Không ôn thi,1.6,Đỗ
Nam,Nông thôn,Tốt nghiệp THPT,Khá giả,Khá,69.5,0.0,Không,Không ôn thi,4.7,Trượt
Nam,Thành thị,Đại học,Khó khăn,Khá,52.1,0.0,Có,Đã ôn thi,3.2,Trượt
Nữ,Nông thôn,Cao đẳng,Khá giả,Khá,85.1,5.4,Có,Không ôn thi,0.2,Đỗ
Nữ,Thành thị,Đại học,Khó khăn,Giỏi,94.8,6.4,Không,Không ôn thi,2.9,Đỗ
Nam,Thành thị,Tốt nghiệp THPT,Khá giả,Trung bình,96.4,12.0,Có,Đã ôn thi,1.4,Đỗ
Nam,Nông thôn,Cao đẳng,Khó khăn,Khá,97.9,12.1,Có,Đã ôn thi,4.7,Đỗ
Nữ,Nông thôn,Đại học,Trung bình,Trung bình,62.3,8.8,Có,Đã ôn thi,2.2,Đỗ
Nam,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,78.9,14.8,Không,Đã ôn thi,1.1,Đỗ
Nam,Thành thị,Đại học,Trung bình,Trung bình,78.5,6.5,Không,Đã ôn thi,4.4,Trượt
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Yếu,90.3,10.5,Không,Đã ôn thi,2.1,Đỗ
Nữ,Nông thôn,Tốt nghiệp THPT,Trung bình,Trung bình,91.2,9.1,Không,Đã ôn thi,5.1,Đỗ
Nữ,Thành thị,Cao đẳng,Khá giả,Yếu,78.3,0.9,Không,Đã ôn thi,6.4,Trượt
Nam,Thành thị,Chưa tốt nghiệp THPT,Khá giả,Khá,84.5,9.3,Có,Không ôn thi,1.1,Đỗ
Nữ,Thành thị,Chưa tốt nghiệp THPT,Trung bình,Giỏi,70.8,8.8,Không,Đã ôn thi,4.6,Trượt
