MSSV,HeldOutFold
SV20210028,1
SV20210043,1
SV20210051,1
SV20210065,1
SV20210075,1
SV20210083,1
SV20210098,1
SV20210103,1
SV20210115,1
SV20210120,1
SV20210122,1
SV20210131,1
SV20210144,1
SV20210145,1
SV20210146,1
SV20210149,1
SV20210150,1
SV20210152,1
SV20210158,1
SV20210159,1
SV20210160,1
SV20210184,1
SV20210186,1
SV20210189,1
SV20210195,1
SV20210206,1
SV20210207,1
SV20210224,1
SV20210243,1
SV20210249,1
SV20210255,1
SV20210258,1
SV20210259,1
SV20210267,1
SV20210287,1
SV20210306,1
SV20210328,1
SV20210360,1
SV20210367,1
SV20210371,1
SV20210377,1
SV20210388,1
SV20210393,1
SV20210399,1
SV20210401,1
SV20210418,1
SV20210438,1
SV20210448,1
SV20210456,1
SV20210470,1
SV20210479,1
SV20210500,1
SV20210503,1
SV20210505,1
SV20210509,1
SV20210521,1
SV20210522,1
SV20210545,1
SV20210551,1
SV20210573,1
SV20210577,1
SV20210581,1
SV20210612,1
SV20210617,1
SV20210625,1
SV20210629,1
SV20210634,1
SV20210638,1
SV20210643,1
SV20210653,1
SV20210658,1
SV20210666,1
SV20210672,1
SV20210673,1
SV20210674,1
SV20210676,1
SV20210677,1
SV20210678,1
SV20210681,1
SV20210687,1
SV20210690,1
SV20210699,1
SV20210711,1
SV20210712,1
SV20210715,1
SV20210732,1
SV20210754,1
SV20210759,1
SV20210772,1
SV20210787,1
SV20210789,1
SV20210791,1
SV20210796,1
SV20210806,1
SV20210809,1
SV20210816,1
SV20210820,1
SV20210845,1
SV20210851,1
SV20210857,1
SV20210861,1
SV20210863,1
SV20210894,1
SV20210898,1
SV20210899,1
SV20210909,1
SV20210917,1
SV20210937,1
SV20210943,1
SV20210947,1
SV20210948,1
SV20210950,1
SV20210974,1
SV20210975,1
SV20210976,1
SV20210989,1
SV20211012,1
SV20211015,1
SV20211046,1
SV20211052,1
SV20211082,1
SV20211094,1
SV20211103,1
SV20211104,1
SV20211108,1
SV20211113,1
SV20211118,1
SV20211121,1
SV20211123,1
SV20211128,1
SV20211132,1
SV20211137,1
SV20211140,1
SV20211142,1
SV20211143,1
SV20211153,1
SV20211160,1
SV20211172,1
SV20211185,1
SV20211190,1
SV20211199,1
SV20211208,1
SV20211209,1
SV20211222,1
SV20211227,1
SV20211230,1
SV20211240,1
SV20211242,1
SV20211252,1
SV20211255,1
SV20211271,1
SV20211274,1
SV20211307,1
SV20211308,1
SV20211331,1
SV20211336,1
SV20211339,1
SV20211340,1
SV20211354,1
SV20211366,1
SV20211368,1
SV20211376,1
SV20211378,1
SV20211384,1
SV20211391,1
SV20211397,1
SV20211404,1
SV20211409,1
SV20211427,1
SV20211451,1
SV20211460,1
SV20211461,1
SV20211463,1
SV20211464,1
SV20211475,1
SV20211496,1
SV20210003,2
SV20210007,2
SV20210012,2
SV20210018,2
SV20210021,2
SV20210037,2
SV20210048,2
SV20210049,2
SV20210063,2
SV20210105,2
SV20210109,2
SV20210117,2
SV20210121,2
SV20210128,2
SV20210132,2
SV20210138,2
SV20210141,2
SV20210147,2
SV20210162,2
SV20210182,2
SV20210188,2
SV20210190,2
SV20210194,2
SV20210205,2
SV20210210,2
SV20210233,2
SV20210244,2
SV20210251,2
SV20210253,2
SV20210256,2
SV20210261,2
SV20210263,2
SV20210273,2
SV20210277,2
SV20210280,2
SV20210282,2
SV20210284,2
SV20210293,2
SV20210296,2
SV20210309,2
SV20210312,2
SV20210316,2
SV20210331,2
SV20210338,2
SV20210341,2
SV20210342,2
SV20210347,2
SV20210353,2
SV20210358,2
SV20210375,2
SV20210383,2
SV20210385,2
SV20210391,2
SV20210394,2
SV20210408,2
SV20210412,2
SV20210420,2
SV20210439,2
SV20210442,2
SV20210446,2
SV20210447,2
SV20210449,2
SV20210453,2
SV20210457,2
SV20210458,2
SV20210460,2
SV20210464,2
SV20210469,2
SV20210477,2
SV20210484,2
SV20210502,2
SV20210511,2
SV20210516,2
SV20210517,2
SV20210526,2
SV20210530,2
SV20210546,2
SV20210565,2
SV20210569,2
SV20210578,2
SV20210580,2
SV20210590,2
SV20210593,2
SV20210596,2
SV20210610,2
SV20210614,2
SV20210616,2
SV20210618,2
SV20210620,2
SV20210623,2
SV20210646,2
SV20210659,2
SV20210698,2
SV20210704,2
SV20210709,2
SV20210720,2
SV20210730,2
SV20210734,2
SV20210739,2
SV20210743,2
SV20210747,2
SV20210748,2
SV20210751,2
SV20210767,2
SV20210769,2
SV20210782,2
SV20210801,2
SV20210815,2
SV20210822,2
SV20210836,2
SV20210843,2
SV20210848,2
SV20210858,2
SV20210868,2
SV20210870,2
SV20210871,2
SV20210878,2
SV20210879,2
SV20210885,2
SV20210908,2
SV20210912,2
SV20210920,2
SV20210928,2
SV20210930,2
SV20210933,2
SV20210938,2
SV20210953,2
SV20210954,2
SV20210993,2
SV20210994,2
SV20211001,2
SV20211010,2
SV20211017,2
SV20211021,2
SV20211037,2
SV20211065,2
SV20211091,2
SV20211116,2
SV20211130,2
SV20211144,2
SV20211152,2
SV20211161,2
SV20211189,2
SV20211193,2
SV20211196,2
SV20211203,2
SV20211206,2
SV20211226,2
SV20211239,2
SV20211245,2
SV20211247,2
SV20211263,2
SV20211267,2
SV20211270,2
SV20211279,2
SV20211288,2
SV20211298,2
SV20211303,2
SV20211314,2
SV20211319,2
SV20211321,2
SV20211328,2
SV20211377,2
SV20211382,2
SV20211388,2
SV20211394,2
SV20211395,2
SV20211411,2
SV20211419,2
SV20211421,2
SV20211422,2
SV20211432,2
SV20211436,2
SV20211447,2
SV20211450,2
SV20211477,2
SV20211482,2
SV20211484,2
SV20211488,2
SV20211489,2
SV20211494,2
SV20211500,2
SV20210002,3
SV20210004,3
SV20210005,3
SV20210009,3
SV20210011,3
SV20210023,3
SV20210025,3
SV20210027,3
SV20210029,3
SV20210034,3
SV20210039,3
SV20210041,3
SV20210067,3
SV20210069,3
SV20210070,3
SV20210072,3
SV20210081,3
SV20210094,3
SV20210095,3
SV20210096,3
SV20210110,3
SV20210130,3
SV20210140,3
SV20210153,3
SV20210161,3
SV20210167,3
SV20210171,3
SV20210181,3
SV20210183,3
SV20210187,3
SV20210196,3
SV20210208,3
SV20210220,3
SV20210222,3
SV20210230,3
SV20210246,3
SV20210266,3
SV20210268,3
SV20210279,3
SV20210286,3
SV20210292,3
SV20210297,3
SV20210305,3
SV20210313,3
SV20210322,3
SV20210335,3
SV20210336,3
SV20210346,3
SV20210362,3
SV20210369,3
SV20210370,3
SV20210384,3
SV20210386,3
SV20210397,3
SV20210402,3
SV20210405,3
SV20210407,3
SV20210411,3
SV20210425,3
SV20210436,3
SV20210437,3
SV20210441,3
SV20210444,3
SV20210468,3
SV20210471,3
SV20210473,3
SV20210481,3
SV20210485,3
SV20210486,3
SV20210508,3
SV20210515,3
SV20210518,3
SV20210531,3
SV20210541,3
SV20210564,3
SV20210576,3
SV20210592,3
SV20210594,3
SV20210609,3
SV20210624,3
SV20210644,3
SV20210665,3
SV20210667,3
SV20210669,3
SV20210684,3
SV20210693,3
SV20210696,3
SV20210697,3
SV20210703,3
SV20210708,3
SV20210710,3
SV20210724,3
SV20210727,3
SV20210733,3
SV20210735,3
SV20210758,3
SV20210788,3
SV20210802,3
SV20210808,3
SV20210810,3
SV20210826,3
SV20210828,3
SV20210833,3
SV20210840,3
SV20210842,3
SV20210847,3
SV20210849,3
SV20210850,3
SV20210856,3
SV20210869,3
SV20210882,3
SV20210884,3
SV20210911,3
SV20210914,3
SV20210916,3
SV20210932,3
SV20210936,3
SV20210939,3
SV20210961,3
SV20210970,3
SV20210983,3
SV20210990,3
SV20210991,3
SV20210996,3
SV20211008,3
SV20211014,3
SV20211024,3
SV20211029,3
SV20211030,3
SV20211038,3
SV20211040,3
SV20211048,3
SV20211056,3
SV20211070,3
SV20211072,3
SV20211079,3
SV20211084,3
SV20211098,3
SV20211112,3
SV20211125,3
SV20211134,3
SV20211139,3
SV20211163,3
SV20211176,3
SV20211178,3
SV20211184,3
SV20211201,3
SV20211215,3
SV20211217,3
SV20211219,3
SV20211225,3
SV20211243,3
SV20211246,3
SV20211249,3
SV20211275,3
SV20211281,3
SV20211289,3
SV20211290,3
SV20211296,3
SV20211299,3
SV20211301,3
SV20211338,3
SV20211343,3
SV20211360,3
SV20211373,3
SV20211387,3
SV20211389,3
SV20211410,3
SV20211414,3
SV20211415,3
SV20211423,3
SV20211430,3
SV20211442,3
SV20211452,3
SV20211455,3
SV20211456,3
SV20211457,3
SV20211481,3
SV20211483,3
SV20211497,3
SV20211498,3
SV20210013,4
SV20210014,4
SV20210015,4
SV20210020,4
SV20210035,4
SV20210046,4
SV20210054,4
SV20210073,4
SV20210080,4
SV20210084,4
SV20210085,4
SV20210086,4
SV20210087,4
SV20210092,4
SV20210101,4
SV20210106,4
SV20210111,4
SV20210118,4
SV20210165,4
SV20210179,4
SV20210192,4
SV20210200,4
SV20210201,4
SV20210202,4
SV20210214,4
SV20210231,4
SV20210247,4
SV20210252,4
SV20210254,4
SV20210265,4
SV20210269,4
SV20210289,4
SV20210301,4
SV20210318,4
SV20210320,4
SV20210326,4
SV20210327,4
SV20210330,4
SV20210334,4
SV20210344,4
SV20210348,4
SV20210363,4
SV20210373,4
SV20210378,4
SV20210389,4
SV20210392,4
SV20210398,4
SV20210450,4
SV20210455,4
SV20210497,4
SV20210507,4
SV20210514,4
SV20210524,4
SV20210528,4
SV20210540,4
SV20210547,4
SV20210548,4
SV20210558,4
SV20210574,4
SV20210600,4
SV20210601,4
SV20210604,4
SV20210631,4
SV20210632,4
SV20210640,4
SV20210645,4
SV20210651,4
SV20210652,4
SV20210661,4
SV20210679,4
SV20210688,4
SV20210689,4
SV20210692,4
SV20210694,4
SV20210700,4
SV20210706,4
SV20210723,4
SV20210726,4
SV20210728,4
SV20210736,4
SV20210741,4
SV20210750,4
SV20210764,4
SV20210765,4
SV20210773,4
SV20210774,4
SV20210775,4
SV20210777,4
SV20210779,4
SV20210786,4
SV20210795,4
SV20210798,4
SV20210804,4
SV20210805,4
SV20210811,4
SV20210824,4
SV20210827,4
SV20210831,4
SV20210835,4
SV20210837,4
SV20210846,4
SV20210855,4
SV20210877,4
SV20210890,4
SV20210896,4
SV20210904,4
SV20210907,4
SV20210935,4
SV20210944,4
SV20210958,4
SV20210972,4
SV20210973,4
SV20210978,4
SV20210995,4
SV20211018,4
SV20211019,4
SV20211022,4
SV20211023,4
SV20211044,4
SV20211047,4
SV20211049,4
SV20211050,4
SV20211062,4
SV20211063,4
SV20211069,4
SV20211071,4
SV20211077,4
SV20211078,4
SV20211080,4
SV20211088,4
SV20211093,4
SV20211110,4
SV20211122,4
SV20211124,4
SV20211126,4
SV20211133,4
SV20211146,4
SV20211154,4
SV20211155,4
SV20211165,4
SV20211167,4
SV20211168,4
SV20211197,4
