Fold,Fraction,Students,Train_AP,Validation_AP
1,0.25,181,0.49331743151540436,0.5828788720148967
1,0.5,362,0.5046099486114448,0.5845457608809304
1,1.0,724,0.5180903809534075,0.5791492261888519
2,0.25,179,0.5751112220126117,0.4513092133154847
2,0.5,359,0.5770262266093025,0.4913603366941212
2,1.0,718,0.5469404561960153,0.4938562006842505
3,0.25,179,0.4924316250323485,0.4788520413913999
3,0.5,359,0.5301018166973869,0.4756799346086374
3,1.0,719,0.5489989035376961,0.48109176512411533
4,0.25,180,0.5340608202224438,0.6038884076277298
4,0.5,361,0.5313755279728346,0.5963444111541084
4,1.0,723,0.5215216086092461,0.6011957811324251
5,0.25,179,0.5701388696621765,0.4733576297192378
5,0.5,358,0.5539674788990544,0.4704166116948795
5,1.0,716,0.5501593756163752,0.4819269533597794
